,blueWins,blueFirstBlood,blueDragons,blueHeralds,blueTowersDestroyed,blueGoldDiff,blueExperienceDiff,redDragons,redHeralds,redTowersDestroyed,blueKDADiff,blueCSDiff,blueJGCSDiff,blueWardDiff,blueDestWardDiff
0,1,1,1,0,0,-3077,-3160,0,1,1,-0.16666666666666652,-61,1,2,0
1,0,1,0,0,0,-2494,-996,0,0,0,-8.5,-30,8,22,2
2,0,1,0,0,0,283,165,1,0,0,1.2571428571428571,-36,4,59,3
3,0,0,0,0,0,-816,172,1,0,0,-2.7142857142857144,7,15,-19,0
4,1,1,1,1,0,2850,1646,0,0,0,10.75,16,30,-32,2
5,0,1,0,0,0,1863,328,0,0,0,4.777777777777779,-2,-17,2,0
6,1,1,1,0,0,2617,2411,0,0,0,4.777777777777778,15,4,-16,-2
7,1,1,0,0,0,1212,77,1,0,0,1.9166666666666667,2,-7,0,0
8,1,1,0,1,0,-1891,-1211,0,0,0,-3.791666666666667,-19,17,8,-4
9,1,0,0,0,0,3072,1589,1,0,0,3.0,25,6,-1,1
10,1,0,0,0,0,-2581,-1304,1,0,0,-2.4285714285714284,-45,0,-78,0
11,0,0,0,0,0,-1428,-671,1,0,0,-1.55,-2,-4,2,-3
12,1,0,1,0,0,1223,2123,0,1,0,0.8333333333333335,6,15,-4,-1
13,1,1,1,0,0,1209,574,0,0,0,5.25,-43,25,38,0
14,0,0,0,0,0,3091,2498,0,0,0,3.1090909090909093,9,4,-5,0
15,1,0,0,0,0,1788,2424,0,0,0,0.75,27,11,1,0
16,1,0,1,1,0,1519,1104,0,0,0,6.333333333333333,-3,7,1,2
17,0,0,0,0,0,-3370,-2779,0,1,0,-0.6190476190476188,-62,-13,-4,0
18,1,1,1,0,0,2670,1589,0,0,0,3.7222222222222223,30,2,2,0
19,0,1,0,0,0,-1429,-1521,0,1,0,-0.7250000000000001,-17,-12,0,-2
20,0,0,1,0,0,2279,2842,0,0,0,13.666666666666666,5,9,8,1
21,0,1,0,0,0,-1641,-1610,0,0,0,-1.5499999999999998,-82,4,1,1
22,1,1,0,0,0,-382,-247,0,0,0,1.3333333333333333,-18,-11,0,-4
23,1,1,0,1,0,446,2153,1,0,0,1.1111111111111112,-9,-2,1,0
24,0,0,1,0,0,-642,311,0,0,0,0.13888888888888884,9,-2,-19,18
25,0,1,0,0,0,-3789,-4083,0,0,0,-20.625,-27,0,-2,-2
26,0,0,0,0,0,-1602,-1412,1,1,0,-0.5,-36,-12,10,-1
27,0,0,1,1,0,-2896,-2081,0,0,0,-2.4000000000000004,-4,-32,1,0
