,blueWins,blueFirstBlood,blueDragons,blueHeralds,blueTowersDestroyed,blueGoldDiff,blueExperienceDiff,redDragons,redHeralds,redTowersDestroyed,blueKDADiff,blueCSDiff,blueJGCSDiff,blueWardDiff,blueDestWardDiff
0,1,0,0,0,0,-1313,-1424,0,0,0,-1.5714285714285714,-21,3,-20,2
1,1,1,0,0,0,1091,1084,1,1,0,-0.16666666666666652,-14,3,23,1
2,1,0,0,0,0,736,266,1,0,0,1.03030303030303,20,12,42,1
3,0,0,1,0,0,-2343,-2188,0,0,0,-1.5,-38,-28,22,2
4,1,0,1,0,0,-2375,-293,0,0,1,-1.1666666666666667,-32,12,59,2
5,0,1,1,0,0,-2,-1484,0,0,0,1.55,-1,-12,-12,-2
6,0,0,0,0,0,-5515,-3391,0,0,0,-7.0,-49,-8,20,-1
7,0,1,0,0,0,-3590,-3279,1,0,0,-3.125,-52,-17,1,2
8,1,0,0,1,1,3163,1231,1,0,0,1.3333333333333333,10,4,0,-1
9,0,1,0,1,0,1295,-80,1,0,0,6.0,-15,2,6,-3
10,1,1,0,0,0,501,-495,0,0,0,-0.11904761904761907,28,0,2,1
11,0,0,0,0,0,-1729,-437,1,0,0,-4.0,-36,7,23,-3
12,0,0,0,0,0,-3041,-1317,1,1,0,-5.0,-10,-10,-3,0
13,1,0,1,0,0,-438,-669,0,0,0,0.10000000000000009,36,-20,-21,4
14,1,1,0,0,0,-713,-897,0,0,0,-3.166666666666667,-15,20,4,0
15,0,1,0,0,0,-177,-308,1,0,0,-0.7171717171717173,-5,-7,18,2
16,0,0,0,0,0,-2077,-2457,1,0,0,-2.857142857142857,-38,-24,-5,0
17,0,1,0,0,0,531,-881,1,0,0,0.7222222222222223,-7,-12,1,1
18,1,0,1,1,0,3175,1975,0,0,0,1.9874999999999998,31,16,-28,1
19,1,1,1,0,0,2489,2364,0,0,0,5.5,11,1,1,1
20,1,1,0,0,0,1128,498,0,0,0,0.6666666666666665,20,6,-12,2
21,0,0,0,0,0,-326,833,1,1,0,1.0,-1,-2,-77,0
22,0,0,0,0,0,-2109,-335,1,0,0,-4.5,-7,12,-1,-1
23,0,1,0,0,0,-1871,-605,0,0,0,-3.3333333333333335,-5,-6,-6,1
24,0,1,0,1,0,2655,1326,1,0,0,7.0,54,-19,32,2
25,0,1,0,0,0,-2338,-2724,0,0,0,-0.7142857142857142,-54,-3,4,0
26,1,0,1,1,0,-1481,-1506,0,0,0,-8.5,13,-4,-42,0
27,1,1,0,0,1,6375,3949,0,0,0,7.4,86,-26,-3,3
28,0,0,0,0,0,-1386,-335,0,0,0,-4.5,-1,-17,-5,0
29,0,0,0,0,0,-1232,-1020,1,0,0,-1.25,12,0,10,2
30,1,0,1,0,0,-278,571,0,0,0,-2.6666666666666665,17,-8,4,1
31,0,0,0,0,0,-2228,-745,1,0,0,-1.8250000000000002,-22,-10,-1,1
32,0,0,0,0,0,-2327,-2471,0,0,0,-3.25,-5,-25,2,0
33,1,1,0,0,0,-96,-1063,0,0,0,-2.0,-15,16,-3,0
34,0,1,0,0,0,-1841,-357,0,0,0,-3.5,5,16,-14,2
35,1,0,0,0,0,-1673,-1730,1,0,0,-8.833333333333334,10,0,2,-2
36,1,0,1,1,1,1384,201,0,0,0,-5.0,12,7,-24,2
37,1,1,1,0,0,195,428,0,0,0,4.125,-60,5,-1,4
38,1,1,0,0,0,2406,1503,0,0,0,4.0,39,-17,-2,2
39,1,0,1,0,0,-1900,-1052,0,1,0,-1.625,-11,15,-9,2
40,0,1,0,0,0,-350,626,0,0,0,1.7,12,-21,3,-2
41,0,0,0,0,0,258,762,1,0,0,1.0833333333333335,7,-4,-4,-1
42,0,0,0,0,0,-4000,-2533,0,0,1,-1.9333333333333336,-62,-6,3,-3
43,0,0,1,1,0,-516,266,0,0,0,-3.666666666666667,24,13,-3,0
44,1,1,1,0,0,-387,795,0,0,0,0.19999999999999996,-10,-12,22,-8
45,1,1,0,0,0,-874,-1370,0,0,0,-0.8888888888888886,-48,-1,-1,-2
46,1,1,1,0,0,1801,2218,0,0,0,2.4642857142857144,-25,13,2,-1
47,1,1,0,1,0,2830,1589,0,0,0,2.6666666666666665,38,9,4,0
48,1,1,0,0,0,-1648,-1354,1,1,1,-0.75,-18,-7,6,-2
49,1,0,1,0,0,1669,113,0,0,0,2.2222222222222223,17,-8,2,-1
50,1,1,1,0,0,3586,2697,0,0,0,3.9545454545454546,34,8,0,2
51,1,0,1,0,0,-3206,-2169,0,0,0,-8.944444444444445,-24,14,0,1
52,1,1,1,0,0,-611,-1958,0,0,0,-2.75,-19,0,-11,0
53,1,1,0,1,0,1820,806,1,0,0,7.4,13,-12,-1,-4
54,1,0,1,0,0,-675,-2016,0,0,0,-1.1,2,-12,-59,0
55,1,1,1,0,0,-1018,1114,0,0,1,-1.0714285714285716,40,0,-7,-1
56,0,1,0,0,0,2318,339,0,1,0,1.5555555555555554,-13,14,-63,1
57,0,0,0,0,0,-598,-1285,1,1,0,-9.5,30,-18,-1,3
58,1,0,0,1,0,2063,1430,0,0,0,1.6666666666666665,49,0,-23,2
59,0,0,0,0,0,-2233,-1112,1,0,0,-1.8181818181818181,-23,-18,-3,2
60,1,0,0,0,0,1654,1097,0,0,0,3.625,-1,2,4,-2
